iter	Passed	Remaining
0	2	229
1	4	216
2	6	200
3	7	184
4	9	182
5	11	176
6	12	172
7	14	171
8	16	165
9	17	160
10	19	154
11	20	152
12	22	147
13	23	143
14	24	139
15	25	135
16	27	132
17	28	131
18	30	129
19	32	128
20	33	127
21	35	124
22	36	120
23	37	117
24	38	114
25	39	111
26	40	109
27	42	108
28	43	107
29	45	106
30	46	104
31	47	101
32	48	98
33	49	96
34	51	94
35	52	93
36	53	91
37	54	89
38	55	86
39	56	85
40	57	83
41	58	80
42	60	79
43	61	78
44	62	76
45	64	75
46	66	74
47	67	72
48	68	71
49	70	70
50	71	68
51	72	67
52	74	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	82	57
59	83	55
60	84	54
61	86	52
62	87	51
63	89	50
64	90	48
65	91	47
66	92	45
67	92	43
68	93	42
69	94	40
70	95	38
71	96	37
72	97	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	103	27
79	105	26
80	105	24
81	106	23
82	107	21
83	108	20
84	108	19
85	109	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	115	10
92	116	8
93	117	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	121	0
